id,auction_date,target_species,avg_price,min_price,max_price,trade_quantity,standard,origin_name,market_name,year,month,day,day_of_week,date,avg_temp,avg_wind,max_temp,min_temp,precipitation,date_ocean,s_temp
984,2021-11-24,(활)우럭,17875.00,8000.00,30000.00,411.60,중,,노량진수산시장,2021,11,24,2,2021-11-24,10.08,3.3200000000000003,14.4,6.5200000000000005,0.0,,
879,2021-11-24,(활)참숭어,6700.00,1000.00,11000.00,1143.60,중,,노량진수산시장,2021,11,24,2,2021-11-24,10.08,3.3200000000000003,14.4,6.5200000000000005,0.0,,
798,2021-11-24,(활)농어,10877.78,3000.00,40000.00,863.20,중,,노량진수산시장,2021,11,24,2,2021-11-24,10.08,3.3200000000000003,14.4,6.5200000000000005,0.0,,
693,2021-11-24,(활)참돔,11675.00,4000.00,35000.00,530.10,중,,노량진수산시장,2021,11,24,2,2021-11-24,10.08,3.3200000000000003,14.4,6.5200000000000005,0.0,,
588,2021-11-24,(활)넙치,12100.00,200.00,33000.00,4796.80,중,,노량진수산시장,2021,11,24,2,2021-11-24,10.08,3.3200000000000003,14.4,6.5200000000000005,0.0,,
983,2021-11-17,(활)우럭,19050.00,1000.00,30000.00,1546.10,중,,노량진수산시장,2021,11,17,2,2021-11-17,12.68,2.62,17.2,8.440000000000001,0.8,,
878,2021-11-17,(활)참숭어,5120.00,200.00,10000.00,1324.10,중,,노량진수산시장,2021,11,17,2,2021-11-17,12.68,2.62,17.2,8.440000000000001,0.8,,
797,2021-11-17,(활)농어,12327.27,3000.00,60000.00,1694.70,중,,노량진수산시장,2021,11,17,2,2021-11-17,12.68,2.62,17.2,8.440000000000001,0.8,,
692,2021-11-17,(활)참돔,16200.00,300.00,51000.00,2873.40,중,,노량진수산시장,2021,11,17,2,2021-11-17,12.68,2.62,17.2,8.440000000000001,0.8,,
587,2021-11-17,(활)넙치,11386.67,1000.00,40000.00,12190.50,중,,노량진수산시장,2021,11,17,2,2021-11-17,12.68,2.62,17.2,8.440000000000001,0.8,,
982,2021-11-10,(활)우럭,19233.33,6000.00,28000.00,909.00,중,,노량진수산시장,2021,11,10,2,2021-11-10,8.72,3.96,12.22,6.279999999999999,2.1999999999999997,,
877,2021-11-10,(활)참숭어,10766.67,500.00,15500.00,664.50,중,,노량진수산시장,2021,11,10,2,2021-11-10,8.72,3.96,12.22,6.279999999999999,2.1999999999999997,,
796,2021-11-10,(활)농어,16250.00,4000.00,45000.00,1327.30,중,,노량진수산시장,2021,11,10,2,2021-11-10,8.72,3.96,12.22,6.279999999999999,2.1999999999999997,,
691,2021-11-10,(활)참돔,45942.86,7000.00,210000.00,3547.20,중,,노량진수산시장,2021,11,10,2,2021-11-10,8.72,3.96,12.22,6.279999999999999,2.1999999999999997,,
586,2021-11-10,(활)넙치,17811.11,1000.00,45000.00,10077.90,중,,노량진수산시장,2021,11,10,2,2021-11-10,8.72,3.96,12.22,6.279999999999999,2.1999999999999997,,
981,2021-11-03,(활)우럭,13633.33,3000.00,26000.00,1509.80,중,,노량진수산시장,2021,11,3,2,2021-11-03,14.38,2.04,19.48,10.72,1.25,,
876,2021-11-03,(활)참숭어,6325.00,400.00,11000.00,692.80,중,,노량진수산시장,2021,11,3,2,2021-11-03,14.38,2.04,19.48,10.72,1.25,,
795,2021-11-03,(활)농어,11200.00,1000.00,28000.00,1240.00,중,,노량진수산시장,2021,11,3,2,2021-11-03,14.38,2.04,19.48,10.72,1.25,,
690,2021-11-03,(활)참돔,97440.00,2000.00,488000.00,1911.30,중,,노량진수산시장,2021,11,3,2,2021-11-03,14.38,2.04,19.48,10.72,1.25,,
585,2021-11-03,(활)넙치,12537.50,1000.00,37000.00,12786.60,중,,노량진수산시장,2021,11,3,2,2021-11-03,14.38,2.04,19.48,10.72,1.25,,
980,2021-10-27,(활)우럭,19600.00,1000.00,25000.00,789.40,중,,노량진수산시장,2021,10,27,2,2021-10-27,15.040000000000001,3.02,20.080000000000002,10.36,0.0,,
875,2021-10-27,(활)참숭어,6250.00,800.00,12000.00,1305.70,중,,노량진수산시장,2021,10,27,2,2021-10-27,15.040000000000001,3.02,20.080000000000002,10.36,0.0,,
794,2021-10-27,(활)농어,16758.33,2000.00,70000.00,3254.40,중,,노량진수산시장,2021,10,27,2,2021-10-27,15.040000000000001,3.02,20.080000000000002,10.36,0.0,,
689,2021-10-27,(활)참돔,40630.00,4000.00,336000.00,1592.80,중,,노량진수산시장,2021,10,27,2,2021-10-27,15.040000000000001,3.02,20.080000000000002,10.36,0.0,,
584,2021-10-27,(활)넙치,13585.71,100.00,40000.00,11474.50,중,,노량진수산시장,2021,10,27,2,2021-10-27,15.040000000000001,3.02,20.080000000000002,10.36,0.0,,
979,2021-10-20,(활)우럭,15200.00,5500.00,25000.00,1836.40,중,,노량진수산시장,2021,10,20,2,2021-10-20,11.74,2.2800000000000002,15.5,8.3,6.65,,
874,2021-10-20,(활)참숭어,8150.00,2000.00,10000.00,357.50,중,,노량진수산시장,2021,10,20,2,2021-10-20,11.74,2.2800000000000002,15.5,8.3,6.65,,
793,2021-10-20,(활)농어,10540.00,2500.00,23000.00,546.10,중,,노량진수산시장,2021,10,20,2,2021-10-20,11.74,2.2800000000000002,15.5,8.3,6.65,,
688,2021-10-20,(활)참돔,42757.14,3000.00,288000.00,1353.40,중,,노량진수산시장,2021,10,20,2,2021-10-20,11.74,2.2800000000000002,15.5,8.3,6.65,,
583,2021-10-20,(활)넙치,17241.67,1500.00,47000.00,9962.50,중,,노량진수산시장,2021,10,20,2,2021-10-20,11.74,2.2800000000000002,15.5,8.3,6.65,,
978,2021-10-13,(활)우럭,16400.00,3000.00,23000.00,1338.80,중,,노량진수산시장,2021,10,13,2,2021-10-13,20.84,2.0,25.3,16.86,,,
873,2021-10-13,(활)참숭어,6500.00,1300.00,11000.00,447.90,중,,노량진수산시장,2021,10,13,2,2021-10-13,20.84,2.0,25.3,16.86,,,
792,2021-10-13,(활)농어,17133.33,6000.00,31000.00,526.20,중,,노량진수산시장,2021,10,13,2,2021-10-13,20.84,2.0,25.3,16.86,,,
687,2021-10-13,(활)참돔,58027.27,3000.00,257600.00,1295.20,중,,노량진수산시장,2021,10,13,2,2021-10-13,20.84,2.0,25.3,16.86,,,
582,2021-10-13,(활)넙치,21309.09,2000.00,45000.00,9505.70,중,,노량진수산시장,2021,10,13,2,2021-10-13,20.84,2.0,25.3,16.86,,,
977,2021-10-06,(활)우럭,18700.00,3000.00,25000.00,1082.50,중,,노량진수산시장,2021,10,6,2,2021-10-06,21.3,2.02,24.94,18.759999999999998,3.2,,
872,2021-10-06,(활)참숭어,3650.00,300.00,9000.00,920.10,중,,노량진수산시장,2021,10,6,2,2021-10-06,21.3,2.02,24.94,18.759999999999998,3.2,,
